rank,num_bins,short_window_size,discount,base_rate,eta,tau_ok,num_runs,nominal_consistent_rate_mean,nominal_consistent_rate_std,nominal_consistent_rate_median,nominal_undecided_rate_mean,nominal_undecided_rate_std,nominal_undecided_rate_median,nominal_false_inconsistent_rate_mean,nominal_false_inconsistent_rate_std,nominal_false_inconsistent_rate_median,fault_false_consistent_rate_mean,fault_false_consistent_rate_std,fault_false_consistent_rate_median,fault_undecided_rate_mean,fault_undecided_rate_std,fault_undecided_rate_median,fault_inconsistent_rate_mean,fault_inconsistent_rate_std,fault_inconsistent_rate_median,decision_coverage_mean,decision_coverage_std,decision_coverage_median,selective_accuracy_mean,selective_accuracy_std,selective_accuracy_median,selective_risk_mean,selective_risk_std,selective_risk_median,balanced_three_state_accuracy_mean,balanced_three_state_accuracy_std,balanced_three_state_accuracy_median,q_inconsistent_roc_auc_mean,q_inconsistent_roc_auc_std,q_inconsistent_roc_auc_median,q_inconsistent_average_precision_mean,q_inconsistent_average_precision_std,q_inconsistent_average_precision_median,q_inconsistent_mean_separation_mean,q_inconsistent_mean_separation_std,q_inconsistent_mean_separation_median,region_transitions_per_1000_steps_mean,region_transitions_per_1000_steps_std,region_transitions_per_1000_steps_median,mean_region_dwell_steps_mean,mean_region_dwell_steps_std,mean_region_dwell_steps_median,event_detection_rate_mean,event_detection_rate_std,event_detection_rate_median,mean_detection_delay_steps_mean,mean_detection_delay_steps_std,mean_detection_delay_steps_median,median_detection_delay_steps_mean,median_detection_delay_steps_std,median_detection_delay_steps_median,worst_detection_delay_steps_mean,worst_detection_delay_steps_std,worst_detection_delay_steps_median,mean_recovery_delay_steps_mean,mean_recovery_delay_steps_std,mean_recovery_delay_steps_median,undetected_event_count_mean,undetected_event_count_std,undetected_event_count_median,safety_feasible,pareto_optimal
11,7,35,0.995,0.5,0.95,0.5,20,0.7093843843843844,0.048716298451580785,0.7117117117117117,0.26381381381381386,0.04379786534543958,0.25900900900900903,0.0268018018018018,0.019469455925952363,0.036036036036036036,0.3955,0.08693402192215519,0.3842857142857143,0.5400714285714285,0.07797721306413989,0.5671428571428572,0.06442857142857142,0.043855293732907204,0.08357142857142857,0.594619326500732,0.05136868616944438,0.5918740849194729,0.6395189669888008,0.04484424715805682,0.6430928416411763,0.3604810330111991,0.044844247158056814,0.35690715835882364,0.3869064779064779,0.025646327657064157,0.3934395109395109,0.6899032604032603,0.03771510725435559,0.6947286572286573,0.7053834644632212,0.040050438932519083,0.7126771808591517,0.1759540803998907,0.04019246057318258,0.17338530005488006,25.805270863836018,5.170343495591604,25.988286969253295,39.17431314503433,8.358475726578257,37.43168168168168,0.14166666666666666,0.08156008082159882,0.16666666666666666,57.59375,42.92599008759145,40.5,57.59375,42.92599008759145,40.5,59.4375,43.91046762067863,40.5,27.775,5.6338770110323315,27.5,5.15,0.489360484929593,5.0,False,True
12,5,35,0.98,0.5,0.95,0.5,20,0.7998498498498499,0.03435747382110919,0.8010510510510511,0.17064564564564563,0.03204210425582573,0.16891891891891891,0.0295045045045045,0.02028723920799855,0.03903903903903904,0.41592857142857137,0.0772767912795418,0.4107142857142857,0.5164285714285715,0.06937112013903761,0.5142857142857142,0.06764285714285714,0.0420379732178703,0.08571428571428572,0.6521595900439239,0.03899865748921285,0.6522693997071742,0.6526919250443515,0.039983919363512394,0.6498612668233175,0.34730807495564864,0.03998391936351241,0.3501387331766826,0.43374635349635354,0.020272765313605924,0.43734019734019736,0.74425429000429,0.03108155360184351,0.7499538824538825,0.7289173421248991,0.035209196168869104,0.7260495148778725,0.18482270235914017,0.041920709666255156,0.17487999682086383,21.632503660322108,6.33530196949574,21.2298682284041,48.48159588593346,14.415139401821047,45.58398220244716,0.175,0.10080088647154989,0.16666666666666666,62.23529411764706,37.167743763518764,44.0,62.23529411764706,37.167743763518764,44.0,71.52941176470588,50.370027852705746,44.0,21.716666666666665,3.6690980774237127,22.166666666666664,4.95,0.6048053188292994,5.0,False,True
13,5,25,0.995,0.5,0.95,0.5,20,0.7826923076923077,0.04287094062919802,0.7892011834319527,0.19178994082840237,0.04145145797960326,0.18417159763313612,0.02551775147928994,0.017541810398831036,0.03550295857988166,0.4161428571428571,0.0768458498565268,0.4235714285714286,0.5018571428571429,0.07711375112290217,0.5021428571428572,0.082,0.04461651854610667,0.095,0.6504723837209302,0.04619166536478613,0.6453488372093024,0.6569718198045741,0.03975507723963767,0.6536054468363408,0.3430281801954259,0.03975507723963766,0.34639455316365914,0.4323461538461538,0.02423596643584229,0.436614539306847,0.7270623415046492,0.03475917078214521,0.712129120879121,0.7329542022161495,0.039292414857064875,0.7300413262612355,0.21671972687335644,0.054292229279038276,0.21630648947987385,25.50872093023256,5.229476006450449,26.88953488372093,39.613497836256755,8.100456588820808,36.21052631578947,0.21666666666666665,0.13355245153100528,0.16666666666666666,59.69444444444444,36.927293429115544,39.5,58.97222222222222,37.67331409328415,36.5,73.72222222222223,51.60347178876238,39.5,21.775,4.048418577970431,21.416666666666664,4.7,0.8013147091860319,5.0,False,True
14,7,50,0.98,0.5,0.95,0.5,20,0.7311827956989247,0.047518534433420676,0.7211981566820277,0.2377880184331797,0.044730747462075615,0.23271889400921658,0.031029185867895548,0.022683504917879547,0.041474654377880185,0.44314285714285717,0.06654041034122113,0.4307142857142857,0.5041428571428572,0.05824482569920176,0.5107142857142857,0.052714285714285714,0.0387059753031436,0.06785714285714287,0.6242042931162102,0.038043981905487224,0.6202812731310141,0.609000378261879,0.03532028301229356,0.6215370852645679,0.390999621738121,0.03532028301229358,0.37846291473543214,0.39194854070660523,0.025186547245638728,0.3937096774193548,0.6843325652841782,0.035673529494187006,0.695707702435813,0.680355195371267,0.040221534769337625,0.6759018476113865,0.12845380832854136,0.03511076525364717,0.12675962759592668,18.578830495928944,5.738030730771146,17.39452257586973,55.72937165620275,14.699315367939045,55.16583333333333,0.125,0.09168660070336346,0.16666666666666666,52.42857142857143,8.724098240499709,51.0,52.42857142857143,8.724098240499709,51.0,54.57142857142857,15.638779638176011,51.0,28.81666666666667,5.284839842771272,29.916666666666664,5.25,0.5501196042201808,5.0,False,True
15,10,70,0.95,0.5,0.95,0.5,20,0.6136291600633914,0.04787771484814289,0.6125198098256734,0.35594294770206025,0.04676539437045998,0.349445324881141,0.030427892234548337,0.025197599891412733,0.03803486529318542,0.47185714285714286,0.07404254590201494,0.46285714285714286,0.5047142857142857,0.06746777883942262,0.5157142857142858,0.02342857142857143,0.020247661015147352,0.029285714285714283,0.5658151765589782,0.045143362752331266,0.5646130728775356,0.5372151327694847,0.03397633312512702,0.5369754338517017,0.4627848672305152,0.03397633312512702,0.4630245661482984,0.31852886574598144,0.02332712303252604,0.3176047090785601,0.595008942721304,0.04490392297366453,0.603901969662667,0.592224555269989,0.039851459264706,0.5940590138210238,0.03908611116463655,0.024807482947504778,0.036422121288251064,16.453794139744552,4.959156970475594,15.026296018031555,62.18197022798712,15.307727511950052,63.38095238095238,0.10833333333333332,0.08156008082159882,0.16666666666666666,74.76923076923077,8.757414441049805,76.0,74.76923076923077,8.757414441049805,76.0,74.76923076923077,8.757414441049805,76.0,40.0,5.5960512393726525,40.75,5.35,0.4893604849295928,5.0,False,True
16,5,35,0.99,0.5,0.95,0.5,20,0.8072072072072072,0.03309547670721721,0.8040540540540541,0.1623873873873874,0.03139869435148625,0.15990990990990991,0.030405405405405407,0.021289547957838835,0.04054054054054054,0.4767142857142857,0.08133697526079833,0.4585714285714286,0.45357142857142857,0.07279962346900419,0.4564285714285714,0.06971428571428571,0.042077111964050375,0.08642857142857144,0.6883967789165447,0.040410929777092784,0.691800878477306,0.6250282723854546,0.039809615268640075,0.6197179636639442,0.37497172761454545,0.03980961526864008,0.38028203633605584,0.43846074646074645,0.022141133271027173,0.4390165165165165,0.7214342020592021,0.0342214632304341,0.7258118833118833,0.7125103254770417,0.03880949522013954,0.7161060140881522,0.17232871261486182,0.04765399740022083,0.16854662410108004,19.143484626647144,4.426130943204025,17.569546120058565,52.653896931781006,11.442103897288469,54.64,0.15833333333333333,0.08506963092234006,0.16666666666666666,58.14705882352941,40.84565640381879,39.0,58.14705882352941,40.84565640381879,39.0,62.470588235294116,47.808364392461215,39.0,20.883333333333333,3.8044679796506546,21.0,5.05,0.5104177855340404,5.0,False,True
17,10,50,0.99,0.5,0.95,0.5,20,0.6429339477726574,0.049034928079602386,0.6405529953917051,0.33417818740399385,0.04297746248719307,0.3195084485407066,0.022887864823348696,0.020734482367308085,0.02457757296466974,0.4769285714285714,0.07891759015910121,0.46571428571428575,0.5017142857142857,0.07383262634643031,0.5185714285714286,0.02135714285714286,0.020782103140826753,0.02,0.5790155440414508,0.0465103778392263,0.579940784603997,0.555887700305831,0.03628380464496022,0.5556743520649146,0.444112299694169,0.0362838046449602,0.4443256479350854,0.33214554531490015,0.02190815984555751,0.33376728110599074,0.603770682466535,0.04512072770145129,0.6086800526662278,0.5963147815136424,0.03949687150354901,0.5947636959716924,0.04444389582547882,0.022380718249831108,0.04140114362863884,20.244263508512212,5.545726665548556,18.874907475943743,50.95981764883846,13.832630715380123,50.999287749287745,0.1,0.08377078165833911,0.16666666666666666,75.08333333333333,9.727732925959053,75.0,75.08333333333333,9.727732925959053,75.0,75.08333333333333,9.727732925959053,75.0,37.193333333333335,5.626603475158582,36.33333333333333,5.4,0.5026246899500346,5.0,False,True
18,5,35,0.995,0.5,0.95,0.5,20,0.8111111111111111,0.03085864857225874,0.8055555555555556,0.15773273273273275,0.028883909468285597,0.15615615615615616,0.031156156156156155,0.020290748250942417,0.04054054054054054,0.4957142857142857,0.08886562829682021,0.49642857142857144,0.43121428571428566,0.08548500034883412,0.43142857142857144,0.07307142857142858,0.04168903087601474,0.08785714285714286,0.7021229868228404,0.0495195652459803,0.6972913616398243,0.6184751166103342,0.038889130653088334,0.6091015078501477,0.38152488338966584,0.038889130653088314,0.3908984921498523,0.4420912698412699,0.020882187158985436,0.4429890604890605,0.6922212569712569,0.03536813847692058,0.6929257829257829,0.6981288839878153,0.03934031971107626,0.7048883865852943,0.17079727902172867,0.05088032700319692,0.15997300157935296,20.97364568081991,4.613351142121712,21.961932650073205,48.74728561627619,13.735755397880446,44.064516129032256,0.19166666666666665,0.12419330339509911,0.16666666666666666,59.07843137254902,36.26480146317361,43.0,58.470588235294116,35.62893425128449,43.0,71.0,52.86539510870982,43.0,20.45,3.593813723055689,21.25,4.85,0.7451598203705947,5.0,False,True
19,5,50,0.95,0.5,0.95,0.5,20,0.7887096774193548,0.04177888674506261,0.7811059907834101,0.1773425499231951,0.034845275939504115,0.1774193548387097,0.033947772657450075,0.02410255240111773,0.04531490015360983,0.49692857142857144,0.07126338041206788,0.4992857142857143,0.446,0.06326525068429019,0.44285714285714284,0.05707142857142857,0.04021551768302164,0.06928571428571428,0.6834566987416728,0.037919604809929786,0.6909696521095485,0.6004090003274957,0.032452325973952555,0.5947082702980908,0.3995909996725043,0.032452325973952534,0.4052917297019092,0.42289055299539174,0.019692607429162654,0.42161290322580647,0.7095561773096335,0.029573710587058388,0.7134869431643625,0.6933007260138557,0.03623707222067135,0.6904472602400789,0.13926993150954314,0.03620412048926841,0.13438134905358023,16.95040710584752,4.8857423595137055,18.504811250925243,62.096558334485664,22.25514533095751,52.038518518518515,0.15833333333333333,0.1008008864715499,0.16666666666666666,57.65625,15.650046592049922,52.5,57.65625,15.650046592049922,52.5,61.3125,19.689993228371954,52.5,22.925,4.6407409546523,23.75,5.05,0.6048053188292994,5.0,False,True
20,7,50,0.99,0.5,0.95,0.5,20,0.7433179723502304,0.054687325372280854,0.7311827956989247,0.22480798771121352,0.05047463747595136,0.21812596006144394,0.031874039938556066,0.02364465042590285,0.039938556067588324,0.5007857142857143,0.08003822260901544,0.4757142857142857,0.4462857142857143,0.07189083501371263,0.4657142857142857,0.05292857142857142,0.038956515458524354,0.06785714285714287,0.6604367135455218,0.044863025863448786,0.6602516654330126,0.5850660140201897,0.03920737848690041,0.5983273748723187,0.41493398597981035,0.039207378486900424,0.4016726251276813,0.3981232718894009,0.027238986717844773,0.4025384024577573,0.6504619267061663,0.03635424238517418,0.6563780996269476,0.6572762875479266,0.039633856280352604,0.6527949586790015,0.11192901530583735,0.03479236159503296,0.10909339906166612,18.39378238341969,4.3841380086195745,17.764618800888233,55.56378079349298,16.160386604184993,54.04,0.125,0.09168660070336346,0.16666666666666666,52.107142857142854,8.343995011219313,51.0,52.107142857142854,8.343995011219313,51.0,54.214285714285715,15.277829947740877,51.0,27.6,6.169250288552653,29.333333333333336,5.25,0.5501196042201808,5.0,False,True
