num_bins,short_window_size,discount,base_rate,eta,tau_ok,simulation_seed,cache_file,warmup_steps,nominal_sample_count,fault_sample_count,nominal_consistent_rate,nominal_undecided_rate,nominal_false_inconsistent_rate,fault_false_consistent_rate,fault_undecided_rate,fault_inconsistent_rate,decision_coverage,selective_accuracy,selective_risk,balanced_three_state_accuracy,q_inconsistent_roc_auc,q_inconsistent_average_precision,mean_q_inconsistent_nominal,mean_q_inconsistent_fault,q_inconsistent_mean_separation,region_transition_count,region_transitions_per_1000_steps,mean_region_dwell_steps,initial_consistent_delay_steps,mean_position_error_nominal,mean_position_error_fault,event_detection_rate,mean_detection_delay_steps,median_detection_delay_steps,worst_detection_delay_steps,mean_detection_delay_seconds,mean_recovery_delay_steps,mean_recovery_delay_seconds,undetected_event_count
10,50,0.99,0.5,0.95,0.5,0,kf_sa_seed_0000.npz,50,651,700,0.5698924731182796,0.3717357910906298,0.05837173579109063,0.44857142857142857,0.49857142857142855,0.05285714285714286,0.5625462620281273,0.5368421052631579,0.4631578947368421,0.3113748079877112,0.5411411016019311,0.5361184114976646,0.1607183875789078,0.17411407743442642,0.013395689855518617,17,12.583271650629163,75.05555555555556,51.0,0.5585900987878052,1.0476660479574822,0.16666666666666666,63.0,63.0,63.0,6.300000000000001,46.5,4.65,5
10,50,0.995,0.5,0.95,0.5,0,kf_sa_seed_0000.npz,50,651,700,0.5852534562211982,0.3563748079877112,0.05837173579109063,0.6014285714285714,0.37,0.02857142857142857,0.6365655070318282,0.4662790697674419,0.5337209302325581,0.3069124423963134,0.4992363396971692,0.5007857491291955,0.14670811673418646,0.12411559700283703,-0.02259251973134943,21,15.544041450777202,61.40909090909091,51.0,0.5585900987878052,1.0476660479574822,0.16666666666666666,80.0,80.0,80.0,8.0,45.166666666666664,4.516666666666667,5
10,70,0.95,0.5,0.95,0.5,0,kf_sa_seed_0000.npz,70,631,700,0.5483359746434231,0.38510301109350237,0.06656101426307448,0.4471428571428571,0.5028571428571429,0.05,0.5529676934635612,0.5176630434782609,0.48233695652173914,0.29916798732171157,0.5265519583427666,0.5304877059244922,0.1810508537939725,0.1812115216036226,0.0001606678096501002,20,15.026296018031555,63.38095238095238,70.0,0.56000912072257,1.0476660479574822,0.16666666666666666,65.0,65.0,65.0,6.5,47.5,4.75,5
10,70,0.98,0.5,0.95,0.5,0,kf_sa_seed_0000.npz,70,631,700,0.5499207606973059,0.3803486529318542,0.06973058637083994,0.5371428571428571,0.4228571428571429,0.04,0.5972952667167544,0.4716981132075472,0.5283018867924528,0.29496038034865296,0.4936948154856237,0.5043236187455583,0.17628204169072598,0.1470484874245096,-0.029233554266216377,16,12.021036814425244,78.29411764705883,70.0,0.56000912072257,1.0476660479574822,0.16666666666666666,72.0,72.0,72.0,7.2,47.333333333333336,4.733333333333333,5
10,70,0.99,0.5,0.95,0.5,0,kf_sa_seed_0000.npz,70,631,700,0.5515055467511886,0.37717908082408874,0.07131537242472266,0.6414285714285715,0.3314285714285714,0.027142857142857142,0.6468820435762584,0.4262485481997677,0.5737514518002322,0.28932420194702285,0.4614851709304958,0.481115923519899,0.16754065540431487,0.11484465908907858,-0.05269599631523629,20,15.026296018031555,63.38095238095238,70.0,0.56000912072257,1.0476660479574822,0.16666666666666666,81.0,81.0,81.0,8.1,47.166666666666664,4.716666666666667,5
10,70,0.995,0.5,0.95,0.5,0,kf_sa_seed_0000.npz,70,631,700,0.5673534072900158,0.3613312202852615,0.07131537242472266,0.7514285714285714,0.2342857142857143,0.014285714285714285,0.7054845980465815,0.3919062832800852,0.6080937167199147,0.29081956078786503,0.433119764546072,0.46030504415387324,0.15249050853999713,0.08015914189717738,-0.07233136664281975,18,13.5236664162284,70.05263157894737,70.0,0.56000912072257,1.0476660479574822,0.16666666666666666,90.0,90.0,90.0,9.0,45.833333333333336,4.583333333333334,5
5,25,0.95,0.5,0.95,0.5,1,kf_sa_seed_0001.npz,25,676,700,0.742603550295858,0.2411242603550296,0.016272189349112426,0.18428571428571427,0.73,0.08571428571428572,0.5101744186046512,0.8005698005698005,0.19943019943019946,0.4141589180050719,0.8246639898562975,0.7987820656170818,0.10484133842524115,0.4047131923293531,0.299871853904112,53,38.51744186046512,25.48148148148148,34.0,0.5647784019111881,0.9650564541279569,0.16666666666666666,40.0,40.0,40.0,4.0,19.833333333333332,1.9833333333333334,5
5,25,0.98,0.5,0.95,0.5,1,kf_sa_seed_0001.npz,25,676,700,0.8062130177514792,0.1760355029585799,0.01775147928994083,0.23142857142857143,0.6742857142857143,0.09428571428571429,0.5704941860465116,0.778343949044586,0.22165605095541396,0.4502493660185968,0.800262045646661,0.7755660984281877,0.09624385462388754,0.351713233607749,0.25546937898386146,23,16.71511627906977,57.333333333333336,34.0,0.5647784019111881,0.9650564541279569,0.16666666666666666,32.0,32.0,32.0,3.2,20.166666666666668,2.016666666666667,5
5,25,0.99,0.5,0.95,0.5,1,kf_sa_seed_0001.npz,25,676,700,0.7914201183431953,0.1893491124260355,0.019230769230769232,0.29714285714285715,0.6228571428571429,0.08,0.5901162790697675,0.7278325123152709,0.2721674876847291,0.4357100591715976,0.7742413355874894,0.7571570720771863,0.09318411761135785,0.33394043712242233,0.24075631951106446,33,23.982558139534884,40.470588235294116,34.0,0.5647784019111881,0.9650564541279569,0.16666666666666666,42.0,42.0,42.0,4.2,20.333333333333332,2.033333333333333,5
5,25,0.995,0.5,0.95,0.5,1,kf_sa_seed_0001.npz,25,676,700,0.7914201183431953,0.1863905325443787,0.022189349112426034,0.30142857142857143,0.6057142857142858,0.09285714285714286,0.6002906976744186,0.7263922518159807,0.27360774818401934,0.44213863060016906,0.7655663567202029,0.7599570785381207,0.08528845182274235,0.32092620933004706,0.2356377575073047,41,29.796511627906977,32.76190476190476,33.0,0.5647784019111881,0.9650564541279569,0.16666666666666666,35.0,35.0,35.0,3.5,18.333333333333332,1.8333333333333333,5
5,35,0.95,0.5,0.95,0.5,1,kf_sa_seed_0001.npz,35,666,700,0.8123123123123123,0.16966966966966968,0.018018018018018018,0.2557142857142857,0.6714285714285714,0.07285714285714286,0.5732064421669106,0.756066411238825,0.243933588761175,0.44258472758472756,0.78502574002574,0.7595026697131997,0.10068494612728206,0.33491493568420844,0.23422998955692637,22,16.105417276720353,59.391304347826086,35.0,0.5692994590670994,0.9650564541279569,0.16666666666666666,50.0,50.0,50.0,5.0,20.666666666666668,2.066666666666667,5
5,35,0.98,0.5,0.95,0.5,1,kf_sa_seed_0001.npz,35,666,700,0.8093093093093093,0.16816816816816818,0.02252252252252252,0.3157142857142857,0.6057142857142858,0.07857142857142857,0.6076134699853587,0.7156626506024096,0.28433734939759037,0.4439403689403689,0.7601587301587301,0.7389735528667964,0.10049911035538758,0.29360098025866554,0.19310186990327796,20,14.641288433382138,65.04761904761905,35.0,0.5692994590670994,0.9650564541279569,0.16666666666666666,44.0,44.0,44.0,4.4,21.166666666666668,2.1166666666666667,5
