num_bins,short_window_size,discount,base_rate,eta,tau_ok,simulation_seed,event_index,event_name,event_start,event_end,detected,detection_delay_steps,detection_delay_seconds,recovery_delay_steps,recovery_delay_seconds,event_consistent_rate,event_undecided_rate,event_inconsistent_rate,event_mean_q_inconsistent,event_max_q_inconsistent,event_mean_position_error,event_max_position_error
5,35,0.99,0.5,0.95,0.5,0,4,coordinated_turn_model_mismatch,900,1000,1,35.0,3.5,46.0,4.6000000000000005,0.27,0.08,0.65,0.7052274497132536,0.9999999999844321,3.0762588689022863,4.685813908554918
5,35,0.99,0.5,0.95,0.5,0,5,process_noise_x_increased,1100,1300,0,,,0.0,0.0,0.76,0.24,0.0,0.03790010535789711,0.21254316959204217,0.7730004400459154,1.9952803799749892
5,35,0.995,0.5,0.95,0.5,0,0,measurement_outliers,100,200,0,,,10.0,1.0,0.47,0.53,0.0,0.23871947119345585,0.9119694609430294,1.2582084760859429,3.970927422779099
5,35,0.995,0.5,0.95,0.5,0,1,measurement_noise_x_increased,300,400,0,,,34.0,3.4000000000000004,0.41,0.59,0.0,0.178951347729969,0.5186847001515137,0.7583449121460678,2.077781262789668
5,35,0.995,0.5,0.95,0.5,0,2,measurement_noise_xy_decreased,500,600,0,,,45.0,4.5,0.28,0.72,0.0,0.34528587293068214,0.7149901614761363,0.3108220514418344,1.0256832163208238
5,35,0.995,0.5,0.95,0.5,0,3,truncated_gaussian_measurement_noise,700,800,0,,,32.0,3.2,0.36,0.64,0.0,0.24432379487034178,0.6954319927249926,0.384027147034413,0.9700072176398135
5,35,0.995,0.5,0.95,0.5,0,4,coordinated_turn_model_mismatch,900,1000,1,35.0,3.5,46.0,4.6000000000000005,0.26,0.09,0.65,0.7098368339720607,0.9999999999999077,3.0762588689022863,4.685813908554918
5,35,0.995,0.5,0.95,0.5,0,5,process_noise_x_increased,1100,1300,0,,,0.0,0.0,0.85,0.15,0.0,0.017747737028517084,0.12103707246002612,0.7730004400459154,1.9952803799749892
5,50,0.95,0.5,0.95,0.5,0,0,measurement_outliers,100,200,0,,,11.0,1.1,0.45,0.55,0.0,0.19897193276376668,0.5759240947411968,1.2582084760859429,3.970927422779099
5,50,0.95,0.5,0.95,0.5,0,1,measurement_noise_x_increased,300,400,0,,,34.0,3.4000000000000004,0.39,0.61,0.0,0.21108787806577162,0.6051693760136183,0.7583449121460678,2.077781262789668
5,50,0.95,0.5,0.95,0.5,0,2,measurement_noise_xy_decreased,500,600,0,,,43.0,4.3,0.27,0.73,0.0,0.40134280081532425,0.7730602609111665,0.3108220514418344,1.0256832163208238
5,50,0.95,0.5,0.95,0.5,0,3,truncated_gaussian_measurement_noise,700,800,0,,,32.0,3.2,0.34,0.66,0.0,0.3185557772025453,0.747967934518222,0.384027147034413,0.9700072176398135
5,50,0.95,0.5,0.95,0.5,0,4,coordinated_turn_model_mismatch,900,1000,1,45.0,4.5,57.0,5.7,0.28,0.17,0.55,0.6219007994577883,0.9999999999979963,3.0762588689022863,4.685813908554918
