scenario,interval,channel_type,channel_id,metric,n_runs,mean,std,sem,ci95_low,ci95_high,min,max
nominal,nominal,C_F,overall,b_norm,100,0.8731603759792654,0.007916269536044756,0.0007916269536044756,0.8716087871502006,0.8747119648083302,0.8429851048374886,0.8908874191035391
nominal,nominal,C_F,overall,d,100,0.11473537841631133,0.006570541569920736,0.0006570541569920735,0.11344755226860687,0.1160232045640158,0.09959606220625865,0.13709784925189286
nominal,nominal,C_F,overall,d_norm,100,0.1268396240207346,0.007916269536044768,0.0007916269536044768,0.1252880351916698,0.12839121284979937,0.10911258089646082,0.1570148951625116
nominal,nominal,C_F,overall,p_ok,100,0.8403531937100351,0.007369763359763461,0.0007369763359763461,0.8389087200915215,0.8417976673285488,0.8122457129801145,0.8568292586746087
nominal,nominal,C_F,overall,selected_score,100,0.8731603759792654,0.007916269536044756,0.0007916269536044756,0.8716087871502006,0.8747119648083302,0.8429851048374886,0.8908874191035391
nominal,nominal,C_F,overall,u,100,0.08982285574730725,0.003480768397644333,0.0003480768397644333,0.08914062514136896,0.09050508635324554,0.08714935823826556,0.10131287553598524
nominal,nominal,C_common,S1,b,100,0.7463775971574003,0.005401993898004219,0.0005401993898004219,0.7453188063533914,0.7474363879614091,0.7311395225956883,0.7596801380105215
nominal,nominal,C_common,S1,b_norm,100,0.8196575501190705,0.005971574217362083,0.0005971574217362083,0.8184871215724675,0.8208279786656735,0.8052241363139458,0.8363888860289225
nominal,nominal,C_common,S1,d,100,0.16420640121833474,0.005456330033869613,0.0005456330033869613,0.1631369605316963,0.1652758419049732,0.14861325171771805,0.1776095830629461
nominal,nominal,C_common,S1,d_norm,100,0.18034244988092954,0.005971574217362086,0.0005971574217362086,0.17917202133432658,0.1815128784275325,0.16361111397107753,0.19477586368605412
nominal,nominal,C_common,S1,p_ok,100,0.791085597969533,0.005408377849572394,0.0005408377849572394,0.7900255559110169,0.7921456400280492,0.777978594035395,0.8055334431464019
nominal,nominal,C_common,S1,selected_score,100,0.8196575501190705,0.005971574217362083,0.0005971574217362083,0.8184871215724675,0.8208279786656735,0.8052241363139458,0.8363888860289225
nominal,nominal,C_common,S1,u,100,0.0894160016242648,0.0009507613634262089,9.507613634262089e-05,0.08922965239703326,0.08960235085149634,0.08786363785920452,0.09367814287941365
nominal,nominal,C_common,S2,b,100,0.7460655567839128,0.006698588248828886,0.0006698588248828886,0.7447526334871424,0.7473784800806833,0.7262006567121874,0.7594258840752887
nominal,nominal,C_common,S2,b_norm,100,0.8193810977560743,0.0071835837412214006,0.0007183583741221401,0.8179731153427948,0.8207890801693537,0.7974061422611497,0.8338986061171189
nominal,nominal,C_common,S2,d,100,0.16443025246683693,0.006498822277504437,0.0006498822277504438,0.16315648330044605,0.1657040216332278,0.1512990046639523,0.18448431306546545
nominal,nominal,C_common,S2,d_norm,100,0.18061890224392566,0.0071835837412214,0.00071835837412214,0.17921091983064627,0.18202688465720504,0.16610139388288112,0.2025938577388503
nominal,nominal,C_common,S2,p_ok,100,0.7908176521585379,0.006582552888618709,0.0006582552888618709,0.7895274717923687,0.7921078325247072,0.770858171823361,0.8040634397056682
nominal,nominal,C_common,S2,selected_score,100,0.8193810977560743,0.0071835837412214006,0.0007183583741221401,0.8179731153427948,0.8207890801693537,0.7974061422611497,0.8338986061171189
nominal,nominal,C_common,S2,u,100,0.08950419074925019,0.0009442144449346672,9.442144449346671e-05,0.08931912471804299,0.08968925678045739,0.08753136121622164,0.09226212760933056
nominal,nominal,C_common_ABF,overall,b,100,0.7463490616302759,0.0040069588830980805,0.00040069588830980805,0.7455636976891887,0.7471344255713631,0.7357342646904791,0.7560749132171528
nominal,nominal,C_common_ABF,overall,b_norm,100,0.8195452977201785,0.004405422397274721,0.00044054223972747207,0.8186818349303127,0.8204087605100443,0.8077078034859287,0.830529737187583
nominal,nominal,C_common_ABF,overall,d,100,0.16432779761643063,0.004016470738540756,0.00040164707385407556,0.16354056935167663,0.16511502588118462,0.15423639358362756,0.17512300823835458
