num_bins,short_window_size,discount,base_rate,eta,tau_ok,simulation_seed,event_index,event_name,event_start,event_end,detected,detection_delay_steps,detection_delay_seconds,recovery_delay_steps,recovery_delay_seconds,event_consistent_rate,event_undecided_rate,event_inconsistent_rate,event_mean_q_inconsistent,event_max_q_inconsistent,event_mean_position_error,event_max_position_error
3,35,0.95,0.5,0.95,0.5,0,2,measurement_noise_xy_decreased,500,600,0,,,34.0,3.4000000000000004,0.17,0.83,0.0,0.5400705026087183,0.9398345805645235,0.3108220514418344,1.0256832163208238
3,35,0.95,0.5,0.95,0.5,0,3,truncated_gaussian_measurement_noise,700,800,0,,,24.0,2.4000000000000004,0.21,0.79,0.0,0.30653922979407144,0.9248309354189906,0.384027147034413,0.9700072176398135
3,35,0.95,0.5,0.95,0.5,0,4,coordinated_turn_model_mismatch,900,1000,1,36.0,3.6,49.0,4.9,0.27,0.09,0.64,0.6817953704327023,1.0,3.0762588689022863,4.685813908554918
3,35,0.95,0.5,0.95,0.5,0,5,process_noise_x_increased,1100,1300,0,,,0.0,0.0,0.81,0.19,0.0,0.059330392325024066,0.5278782050930808,0.7730004400459154,1.9952803799749892
3,35,0.98,0.5,0.95,0.5,0,0,measurement_outliers,100,200,1,65.0,6.5,5.0,0.5,0.46,0.46,0.08,0.3146896281561917,0.9758986669996556,1.2582084760859429,3.970927422779099
3,35,0.98,0.5,0.95,0.5,0,1,measurement_noise_x_increased,300,400,0,,,39.0,3.9000000000000004,0.68,0.32,0.0,0.0484669251308665,0.2087949363824752,0.7583449121460678,2.077781262789668
3,35,0.98,0.5,0.95,0.5,0,2,measurement_noise_xy_decreased,500,600,0,,,34.0,3.4000000000000004,0.2,0.8,0.0,0.5081681075180062,0.8943990040009528,0.3108220514418344,1.0256832163208238
3,35,0.98,0.5,0.95,0.5,0,3,truncated_gaussian_measurement_noise,700,800,0,,,25.0,2.5,0.34,0.66,0.0,0.263447508591336,0.8959350326944147,0.384027147034413,0.9700072176398135
3,35,0.98,0.5,0.95,0.5,0,4,coordinated_turn_model_mismatch,900,1000,1,39.0,3.9000000000000004,51.0,5.1000000000000005,0.28,0.11,0.61,0.6607052425614506,1.0,3.0762588689022863,4.685813908554918
3,35,0.98,0.5,0.95,0.5,0,5,process_noise_x_increased,1100,1300,0,,,0.0,0.0,0.82,0.18,0.0,0.037087972852935816,0.31371347555753293,0.7730004400459154,1.9952803799749892
3,35,0.99,0.5,0.95,0.5,0,0,measurement_outliers,100,200,0,,,5.0,0.5,0.48,0.52,0.0,0.27300691472543603,0.9174457492412095,1.2582084760859429,3.970927422779099
3,35,0.99,0.5,0.95,0.5,0,1,measurement_noise_x_increased,300,400,0,,,39.0,3.9000000000000004,0.77,0.23,0.0,0.03309418367119035,0.1461625820589806,0.7583449121460678,2.077781262789668
3,35,0.99,0.5,0.95,0.5,0,2,measurement_noise_xy_decreased,500,600,0,,,35.0,3.5,0.22,0.78,0.0,0.46003485178802933,0.8348765152082722,0.3108220514418344,1.0256832163208238
3,35,0.99,0.5,0.95,0.5,0,3,truncated_gaussian_measurement_noise,700,800,0,,,27.0,2.7,0.39,0.61,0.0,0.2226070420293551,0.8449157022785522,0.384027147034413,0.9700072176398135
3,35,0.99,0.5,0.95,0.5,0,4,coordinated_turn_model_mismatch,900,1000,1,41.0,4.1000000000000005,53.0,5.300000000000001,0.3,0.11,0.59,0.6388181572149998,0.9999999999999997,3.0762588689022863,4.685813908554918
3,35,0.99,0.5,0.95,0.5,0,5,process_noise_x_increased,1100,1300,0,,,0.0,0.0,0.84,0.16,0.0,0.019622571352161836,0.18161945314655373,0.7730004400459154,1.9952803799749892
3,50,0.9,0.5,0.95,0.5,0,0,measurement_outliers,100,200,0,,,6.0,0.6000000000000001,0.49,0.51,0.0,0.30453132755716783,0.9277070747651259,1.2582084760859429,3.970927422779099
3,50,0.9,0.5,0.95,0.5,0,1,measurement_noise_x_increased,300,400,0,,,39.0,3.9000000000000004,0.68,0.32,0.0,0.03230421392256789,0.14448262849389032,0.7583449121460678,2.077781262789668
3,50,0.9,0.5,0.95,0.5,0,2,measurement_noise_xy_decreased,500,600,0,,,37.0,3.7,0.24,0.75,0.01,0.47886523768997763,0.9534262493886462,0.3108220514418344,1.0256832163208238
3,50,0.9,0.5,0.95,0.5,0,3,truncated_gaussian_measurement_noise,700,800,0,,,28.0,2.8000000000000003,0.45,0.55,0.0,0.21828224882852232,0.8686439455371048,0.384027147034413,0.9700072176398135
3,50,0.9,0.5,0.95,0.5,0,4,coordinated_turn_model_mismatch,900,1000,1,44.0,4.4,54.0,5.4,0.32,0.12,0.56,0.6138943486927968,1.0,3.0762588689022863,4.685813908554918
3,50,0.9,0.5,0.95,0.5,0,5,process_noise_x_increased,1100,1300,0,,,0.0,0.0,0.795,0.205,0.0,0.024315168095119376,0.2645409425165526,0.7730004400459154,1.9952803799749892
3,50,0.95,0.5,0.95,0.5,0,0,measurement_outliers,100,200,0,,,8.0,0.8,0.5,0.5,0.0,0.28111691795774457,0.8732201995494615,1.2582084760859429,3.970927422779099
3,50,0.95,0.5,0.95,0.5,0,1,measurement_noise_x_increased,300,400,0,,,39.0,3.9000000000000004,0.72,0.28,0.0,0.027825059203043595,0.12129343159809651,0.7583449121460678,2.077781262789668
3,50,0.95,0.5,0.95,0.5,0,2,measurement_noise_xy_decreased,500,600,0,,,37.0,3.7,0.27,0.73,0.0,0.4649171311352227,0.9406846034461621,0.3108220514418344,1.0256832163208238
3,50,0.95,0.5,0.95,0.5,0,3,truncated_gaussian_measurement_noise,700,800,0,,,29.0,2.9000000000000004,0.47,0.53,0.0,0.2038362309880803,0.821520807780042,0.384027147034413,0.9700072176398135
3,50,0.95,0.5,0.95,0.5,0,4,coordinated_turn_model_mismatch,900,1000,1,45.0,4.5,55.0,5.5,0.33,0.12,0.55,0.6051208998165668,1.0,3.0762588689022863,4.685813908554918
3,50,0.95,0.5,0.95,0.5,0,5,process_noise_x_increased,1100,1300,0,,,0.0,0.0,0.84,0.16,0.0,0.01877480729689345,0.19778526869561078,0.7730004400459154,1.9952803799749892
3,50,0.98,0.5,0.95,0.5,0,0,measurement_outliers,100,200,0,,,10.0,1.0,0.53,0.47,0.0,0.22640351265722564,0.7259704454085589,1.2582084760859429,3.970927422779099
3,50,0.98,0.5,0.95,0.5,0,1,measurement_noise_x_increased,300,400,0,,,39.0,3.9000000000000004,0.83,0.17,0.0,0.020567619939243338,0.09167221827625405,0.7583449121460678,2.077781262789668
3,50,0.98,0.5,0.95,0.5,0,2,measurement_noise_xy_decreased,500,600,0,,,38.0,3.8000000000000003,0.28,0.72,0.0,0.4291058217936943,0.8966301171484113,0.3108220514418344,1.0256832163208238
3,50,0.98,0.5,0.95,0.5,0,3,truncated_gaussian_measurement_noise,700,800,0,,,29.0,2.9000000000000004,0.52,0.48,0.0,0.17782972375145,0.7454247524833069,0.384027147034413,0.9700072176398135
3,50,0.98,0.5,0.95,0.5,0,4,coordinated_turn_model_mismatch,900,1000,1,47.0,4.7,60.0,6.0,0.35,0.12,0.53,0.5870809575733172,1.0,3.0762588689022863,4.685813908554918
3,50,0.98,0.5,0.95,0.5,0,5,process_noise_x_increased,1100,1300,0,,,0.0,0.0,0.89,0.11,0.0,0.010718611796200326,0.10074500671789749,0.7730004400459154,1.9952803799749892
3,50,0.99,0.5,0.95,0.5,0,0,measurement_outliers,100,200,0,,,11.0,1.1,0.56,0.44,0.0,0.16522375019910068,0.5686504611258628,1.2582084760859429,3.970927422779099
3,50,0.99,0.5,0.95,0.5,0,1,measurement_noise_x_increased,300,400,0,,,38.0,3.8000000000000003,0.92,0.08,0.0,0.01387920566515676,0.06952339960996297,0.7583449121460678,2.077781262789668
3,50,0.99,0.5,0.95,0.5,0,2,measurement_noise_xy_decreased,500,600,0,,,40.0,4.0,0.35,0.65,0.0,0.37888431361999847,0.8524244760046987,0.3108220514418344,1.0256832163208238
3,50,0.99,0.5,0.95,0.5,0,3,truncated_gaussian_measurement_noise,700,800,0,,,30.0,3.0,0.56,0.44,0.0,0.1498139136103946,0.6734029019279706,0.384027147034413,0.9700072176398135
3,50,0.99,0.5,0.95,0.5,0,4,coordinated_turn_model_mismatch,900,1000,1,49.0,4.9,64.0,6.4,0.37,0.12,0.51,0.566050349226627,1.0,3.0762588689022863,4.685813908554918
