k,p_ok_griebel_innovation_mean,p_ok_radial_mean,p_ok_x_mean,p_ok_y_mean,p_ok_overall_mean,u_griebel_innovation_mean,u_radial_mean,u_x_mean,u_y_mean,u_overall_mean,griebel_multinomial_dc_mean,griebel_multinomial_uncertainty_mean,griebel_multinomial_threshold_mean,dc_josang_history_mean,dc_norm_history_mean,nis_score_mean,nis_lower_band_mean,nis_upper_band_mean,rmse_mean
206,0.8259459459459464,0.692614346847625,0.775287406347849,0.7633288573817414,0.641984716103656,0.054054054054056,0.1078983915120397,0.115044918945034,0.1150250903835944,0.1066460557357376,0.1844164472118568,0.1066200793594608,0.2109153601548429,0.193718356232222,0.253436457396355,9.544147143560773,1.236433701309239,2.9775685365661952,0.4917416309696585
207,0.8297297297297304,0.6953949173264463,0.7774686628831823,0.765308855487438,0.6449201533684602,0.054054054054056,0.1078098140898635,0.1144724189446038,0.1150582000416394,0.1066368816521878,0.1823281813092442,0.1066168470051246,0.2109371165044398,0.1916565150550985,0.2507001756286218,9.472479611729552,1.236433701309239,2.9775685365661952,0.5034430874282279
208,0.8335135135135142,0.699447913901697,0.7783473211814801,0.7680995187731355,0.6486729367833228,0.054054054054056,0.1077274394174869,0.1151143274219099,0.1144879669068977,0.1067096473973349,0.1795429072352968,0.1066129233635032,0.2109479612046711,0.1886127020427241,0.2466883663895595,9.40280988000742,1.236433701309239,2.9775685365661952,0.5565550616126559
209,0.8359459459459465,0.7025600592558833,0.7796050965441631,0.7700356880831177,0.651190296350672,0.054054054054056,0.1082508857115835,0.1145367073329406,0.1145099360760015,0.106915706332494,0.1771175339207082,0.1066083822476731,0.2109576652214101,0.1859697418617033,0.2433144978883248,9.344978666380992,1.236433701309239,2.9775685365661952,0.5607178411721305
210,0.8370270270270275,0.7063938632477306,0.7837265317772484,0.7734712246443116,0.6559428143426785,0.054054054054056,0.1081409395720968,0.1139958338759234,0.1139738440422761,0.1068946079091428,0.174185734247429,0.1066032910546958,0.2109409927644712,0.1831016186907073,0.2395356669662208,9.3162212817331,1.236433701309239,2.9775685365661952,0.5667904972795674
211,0.8381081081081088,0.7092053456715872,0.7880628859202657,0.7740988027949531,0.6591740363579888,0.054054054054056,0.1086193167396395,0.1134897220880286,0.114067044246965,0.1070977076845826,0.1728382822381084,0.1065977113201058,0.2109375220350157,0.1807075759532924,0.2364849959585927,9.291558788161812,1.236433701309239,2.9775685365661952,0.567631002333905
212,0.8389189189189197,0.7126651529925881,0.7897330742172606,0.7760177075910042,0.6624701063821834,0.054054054054056,0.1084859925669237,0.1140928620004987,0.1135588219321434,0.1071763236537924,0.1694102692047698,0.1065916992206548,0.2109356820051312,0.1781422046743843,0.2330918507239505,9.275301754325245,1.236433701309239,2.9775685365661952,0.5495927220545778
213,0.8410810810810818,0.7146700523515763,0.7896921836782993,0.7775633393045895,0.6641636019448462,0.054054054054056,0.1083611238769168,0.1141445383510037,0.1134581226590374,0.107157598486977,0.1681196737646267,0.1065853060308535,0.2109200413055979,0.1766846379645232,0.2311493857099654,9.271796423999604,1.236433701309239,2.9775685365661952,0.5293190784834942
214,0.8413513513513522,0.7179262249238413,0.7909199858078126,0.780526667650333,0.6674054315211221,0.054054054054056,0.1088412550424206,0.1147566278251229,0.1129903588513873,0.1075114360300416,0.1650529262770538,0.1065785785381434,0.2109455290306625,0.1739355993285556,0.2276531475549482,9.270104112800984,1.236433701309239,2.9775685365661952,0.5232353669414984
215,0.8659459459459459,0.7216074920797969,0.792023521331227,0.7817661894910249,0.6700703618629659,0.054054054054056,0.1098772229239639,0.1142035412731591,0.1131180647591715,0.1078818346857164,0.1622129895243948,0.1065715594209412,0.2109305209372895,0.1705127996239155,0.2234538964582214,5.995454965047043,1.236433701309239,2.9775685365661952,0.5277271034319628
216,0.8751351351351354,0.7253367947634959,0.7938334001846202,0.7837068322400137,0.6731382562932271,0.054054054054056,0.1108566588706954,0.1136856386036182,0.1126727708384387,0.108238203168174,0.1595416021459091,0.1065642875932864,0.2109158139550096,0.1671176278404148,0.2192348758011562,5.868966935485101,1.236433701309239,2.9775685365661952,0.5114537318068405
217,0.8818918918918921,0.7287028831820959,0.7950979162089198,0.7872675916005292,0.676775789576313,0.054054054054056,0.1105777292138423,0.1132010178432846,0.1122563439265642,0.1081085119706912,0.1574092786546567,0.1065567985193895,0.2109147357778018,0.1647013613789978,0.216008252210983,5.786240104959806,1.236433701309239,2.9775685365661952,0.5191240585520707
218,0.8845945945945947,0.7317982438777514,0.7984837764121842,0.7884585343256048,0.6804219516024247,0.054054054054056,0.1103155497039055,0.1133478696911133,0.1130415729338581,0.1083606370558847,0.155009898021056,0.1065491245009843,0.2109147357778018,0.1625031363837216,0.2130439812702956,5.732113066466416,1.236433701309239,2.9775685365661952,0.5000627252333796
219,0.8897297297297299,0.7349830883332463,0.7980836666455683,0.7929367696246936,0.683871801585221,0.054054054054056,0.1100693437817956,0.1140313754513664,0.1126024097340976,0.1085120940868482,0.1524623417856288,0.1065412949400884,0.2109150093625007,0.1602142105688087,0.209982239775856,5.67255291152158,1.236433701309239,2.9775685365661952,0.5206857952320314
220,0.8932432432432433,0.7415367676313409,0.7996806578309287,0.7983540643071255,0.6898138253593138,0.0540540540540561,0.1109943005255924,0.1141245681120416,0.1143423015066923,0.1096036592612753,0.1489413439583784,0.106533336579457,0.2109014150392632,0.1547777974981564,0.202966082105863,5.618422334293433,1.236433701309239,2.9775685365661952,0.5063315175802307
221,0.894054054054054,0.7449738067691253,0.8017732610394294,0.8000546122921137,0.693230651708167,0.0540540540540561,0.1107034414483817,0.1147722627054597,0.113821135385281,0.1096651353157398,0.1469506325283295,0.106525273722802,0.2109016721027421,0.1522971573500079,0.1996744725066838,5.607000591686358,1.236433701309239,2.9775685365661952,0.5300163643882511
222,0.8937837837837839,0.7498832979049674,0.8033216724281363,0.8035602630718606,0.6975318593416595,0.054054054054056,0.1110296662768913,0.114218603274837,0.1133326646527569,0.109776815158847,0.1448876576690085,0.107089754166632,0.2113055804347378,0.148400044484744,0.1946018689565872,5.590460439590612,1.236433701309239,2.9775685365661952,0.539021556613245
223,0.8948648648648652,0.7501064011093619,0.8023296215913465,0.8033417217369607,0.6973136448394561,0.054054054054056,0.111934222648083,0.1151660708135075,0.1134732958699299,0.110438154948638,0.1438293461776738,0.1070437112319919,0.2112694966572002,0.1477505282754803,0.1939264875665968,5.5760428779627205,1.236433701309239,2.9775685365661952,0.5567300500884962
224,0.8956756756756761,0.7551900907406341,0.8045699986884091,0.8054895374676182,0.7013908805990593,0.0540540540540561,0.1126569200574563,0.115664317798578,0.1130065131580203,0.1109328374202765,0.141724531164825,0.1069993302595072,0.211234235690938,0.1435273495170263,0.1884814492306378,5.552312884385255,1.236433701309239,2.9775685365661952,0.5468822126497901
225,0.9181081081081086,0.7560942882921862,0.8021572122355296,0.8079330156885116,0.7016492781071877,0.0540540540540561,0.11464945052177,0.1158823990088363,0.1125696030981781,0.111687046490601,0.1392075766135602,0.1069565158205838,0.2111997693675817,0.1417679926331684,0.1865809864469291,2.495341652185419,1.236433701309239,2.9775685365661952,0.5349212148978058
226,0.9248648648648654,0.759128418610786,0.803897228550476,0.8090118048927326,0.7044990203429136,0.0540540540540561,0.1141183670528171,0.1158108885476134,0.1133609942451551,0.1117650603308383,0.1363808620312889,0.1069151803735985,0.2111660705354965,0.1397332766072648,0.1838123978628054,2.382761270668385,1.236433701309239,2.9775685365661952,0.525555037216325
227,0.927837837837838,0.7617096854332275,0.8067625214599073,0.8113952218677761,0.7081530219232397,0.0540540540540561,0.113619121725108,0.1151900683470706,0.1135010365741859,0.111601078972414,0.132651412363434,0.1068752434185911,0.211133113059862,0.1380058121899862,0.1814807537042181,2.2963256425102974,1.236433701309239,2.9775685365661952,0.5397520584497357
228,0.931621621621622,0.7635663456805196,0.8090906244054262,0.8133329228527422,0.7110697828831072,0.0540540540540561,0.1131502533603058,0.1152026109782388,0.1140276110795887,0.1116440107952121,0.1294049208243358,0.1073979052550488,0.2115175945190297,0.1368263892629582,0.1798585276393271,2.243819227977007,1.236433701309239,2.9775685365661952,0.5155623163741224
229,0.9354054054054056,0.7664038364686802,0.808855772174202,0.815625373994409,0.7126015504707063,0.0540540540540561,0.1157089898501476,0.1146192442860093,0.1135260577602864,0.112555520820139,0.1260067090889009,0.1073235504104883,0.2114628076933019,0.1333634241684992,0.1757416686062458,2.169469230188267,1.236433701309239,2.9775685365661952,0.521601666396781
230,0.9370270270270276,0.768202731254333,0.8102871164409702,0.8171346711621302,0.7145430114318114,0.0540540540540561,0.1166768726094301,0.1140729378068254,0.1152656569043,0.1133072271036134,0.1208673539611594,0.1085437776964804,0.2123795809012215,0.1314527132934065,0.1734588324409516,2.142413902085297,1.236433701309239,2.9775685365661952,0.5208877806338994
231,0.9408108108108112,0.7708387783634784,0.8104673950667356,0.817612016495852,0.7158601378675493,0.0540540540540561,0.1178073189644625,0.1141617323628038,0.1152295889382499,0.1137433207535954,0.1195215585479566,0.1084122942266338,0.2123060692363079,0.1288301349908681,0.1702575621542906,2.094184628785198,1.236433701309239,2.9775685365661952,0.5250315263424067
232,0.943513513513514,0.7749458278385076,0.8106093373290898,0.8188253173131846,0.7186369215020426,0.0540540540540561,0.1176620081036223,0.1147761130771506,0.1157150818188949,0.1140084557690829,0.1174571715347959,0.1082863332339772,0.212220585823962,0.1257686399318205,0.166223168109681,2.0688452042061023,1.236433701309239,2.9775685365661952,0.524130276408533
233,0.9432432432432434,0.7771684991797259,0.8125424877200689,0.8169635498507817,0.7198794641060458,0.0540540540540561,0.1181202764515319,0.1142201786585993,0.1174348467751691,0.1144981415159001,0.1147982528284876,0.1081655498911461,0.2121371859379887,0.1238180653976634,0.1637713625945084,2.045937571878809,1.236433701309239,2.9775685365661952,0.5215440613454005
234,0.9424324324324326,0.7801784782791608,0.8144438271730945,0.818919015366078,0.7230076185780875,0.0540540540540561,0.1179491933997021,0.1145255136802738,0.116711066283437,0.1144061973816801,0.1127592042845623,0.1080496278758748,0.2120557947057826,0.121596198748303,0.1608469250209883,2.0501543808073444,1.236433701309239,2.9775685365661952,0.5380829367285783
235,0.9440540540540544,0.7840117667428207,0.8161285880849998,0.8211764731442187,0.7262510063189791,0.0540540540540561,0.118386800833512,0.1139873448738719,0.1160316930569042,0.1144433857026561,0.1105519698772299,0.1084995506233942,0.21237920339292,0.1184486571225545,0.1567948328404234,2.0448623752409407,1.236433701309239,2.9775685365661952,0.5430629886076924
