k,b_norm_griebel_innovation_mean,b_norm_radial_mean,b_norm_x_mean,b_norm_y_mean,b_norm_comp_mean,b_norm_overall_mean,d_norm_griebel_innovation_mean,d_norm_radial_mean,d_norm_x_mean,d_norm_y_mean,d_norm_comp_mean,d_norm_overall_mean,p_ok_griebel_innovation_mean,p_ok_radial_mean,p_ok_x_mean,p_ok_y_mean,p_ok_comp_mean,p_ok_overall_mean,u_griebel_innovation_mean,u_radial_mean,u_x_mean,u_y_mean,u_comp_mean,u_overall_mean,griebel_multinomial_dc_mean,griebel_multinomial_uncertainty_mean,griebel_multinomial_threshold_mean,dc_josang_history_mean,dc_norm_history_mean,nis_score_mean,nis_lower_band_mean,nis_upper_band_mean,rmse_mean
761,0.8645714286,0.6816173289,0.7399883537,0.7448968502,0.5511296815,0.6113599743,0.1354285714,0.3183826711,0.2600116463,0.2551031498,0.4488703185,0.3886400257,0.8691891892,0.6613362403,0.7366018643,0.7409879727,0.5458194266,0.5995837866,0.05405405405,0.1136400359,0.1122393153,0.1118681147,0.09908383404,0.1054626097,0.226679745,0.1053242344,0.2096485277,0.2138956726,0.2818437417,1.95769832,1.236433701,2.977568537,0.4428948003
762,0.8642857143,0.6802999905,0.7374297194,0.7406946936,0.5465164295,0.6085173892,0.1357142857,0.3197000095,0.2625702806,0.2593053064,0.4534835705,0.3914826108,0.8689189189,0.6601843852,0.7343862238,0.7371895162,0.5416917383,0.5970355283,0.05405405405,0.1137532092,0.1124468426,0.1132232105,0.09930721263,0.1055846534,0.2272800444,0.1051096552,0.2094377293,0.2146781298,0.2829390102,1.962817151,1.236433701,2.977568537,0.4293939551
763,0.864,0.6773901284,0.7343735749,0.7372895513,0.5419907076,0.6049316268,0.136,0.3226098716,0.2656264251,0.2627104487,0.4580092924,0.3950683732,0.8686486486,0.6576755363,0.7317484237,0.7342253108,0.5376850841,0.5938736962,0.05405405405,0.1132599544,0.1131623886,0.1139237726,0.09949970008,0.1054797026,0.2290830615,0.1048996002,0.2092933689,0.216900087,0.2856944865,1.972519993,1.236433701,2.977568537,0.4415487987
764,0.8637142857,0.6772484552,0.7324823305,0.7329884504,0.5375377321,0.6029513272,0.1362857143,0.3227515448,0.2675176695,0.2670115496,0.4624622679,0.3970486728,0.8683783784,0.6576027965,0.7302174415,0.7305825877,0.5337303441,0.5921093391,0.05405405405,0.1127992714,0.1144069541,0.1146288453,0.1000390008,0.10560762,0.2311020484,0.1053260962,0.2095521944,0.2172598881,0.2859975678,1.971460951,1.236433701,2.977568537,0.4573400061
765,0.8628571429,0.6774273034,0.733503482,0.7333749965,0.5384256352,0.6036603781,0.1371428571,0.3225726966,0.266496518,0.2666250035,0.4615743648,0.3963396219,0.8675675676,0.6578113955,0.7310820948,0.7309418155,0.5345200604,0.5927485775,0.05405405405,0.1123692329,0.1138782696,0.1146886315,0.0999517143,0.1053900851,0.2318922169,0.1051785796,0.2094354352,0.2173856284,0.286003988,1.978361561,1.236433701,2.977568537,0.4755155683
766,0.8651428571,0.6768059645,0.7339919875,0.7318079936,0.5375301043,0.6028191963,0.1348571429,0.3231940355,0.2660080125,0.2681920064,0.4624698957,0.3971808037,0.8697297297,0.6572231665,0.7314794663,0.7295308408,0.5337146904,0.5919897216,0.05405405405,0.112568031,0.1133831905,0.1147434667,0.0997093246,0.1053421236,0.2326954488,0.105055903,0.20932051,0.2177152998,0.286492818,1.942761898,1.236433701,2.977568537,0.482570327
767,0.8651428571,0.6751670773,0.7346701466,0.7310980087,0.5374597558,0.6018768645,0.1348571429,0.3248329227,0.2653298534,0.2689019913,0.4625402442,0.3981231355,0.8697297297,0.6557927299,0.7320544103,0.7288793216,0.5336492552,0.5911674039,0.05405405405,0.1121550835,0.1129198957,0.114193794,0.09925942772,0.1049564541,0.234793584,0.1055418523,0.2096983659,0.2190937655,0.2881297284,1.944167825,1.236433701,2.977568537,0.4941767616
768,0.8657142857,0.6744462581,0.7344884953,0.7321131105,0.538142266,0.6019005202,0.1342857143,0.3255537419,0.2655115047,0.2678868895,0.461857734,0.3980994798,0.8702702703,0.6551985316,0.7319033317,0.729727923,0.5342441486,0.591197049,0.05405405405,0.1117696873,0.1130866566,0.1136787519,0.09913170944,0.1047315673,0.2348102772,0.1054746185,0.2096718585,0.2198004893,0.2889166247,1.962378542,1.236433701,2.977568537,0.4944304199
769,0.8654285714,0.6754777727,0.7350928167,0.7314578403,0.5381775674,0.6024691853,0.1345714286,0.3245222273,0.2649071833,0.2685421597,0.4618224326,0.3975308147,0.87,0.6561450328,0.7324136129,0.729057061,0.5342630286,0.5917074799,0.05405405405,0.1114101751,0.1126429484,0.1143957998,0.09920028928,0.104622423,0.2352246103,0.1054520065,0.2096821213,0.2193266033,0.2881498796,1.993929318,1.236433701,2.977568537,0.492420519
770,0.8657142857,0.6753769803,0.7350870591,0.7301240239,0.5373150343,0.6020489216,0.1342857143,0.3246230197,0.2649129409,0.2698759761,0.4626849657,0.3979510784,0.8702702703,0.6560936315,0.7322631639,0.727921961,0.5334455398,0.5913156703,0.05405405405,0.1110749593,0.1139313325,0.1142991843,0.09964290369,0.1047478465,0.2353956533,0.1061339776,0.2102093099,0.2195889347,0.2883688888,1.964370479,1.236433701,2.977568537,0.4811588814
771,0.8648571429,0.6755796998,0.7343488313,0.7315211497,0.5377979583,0.6025109929,0.1351428571,0.3244203002,0.2656511687,0.2684788503,0.4622020417,0.3974890071,0.8694594595,0.6562949031,0.7316117122,0.7290553039,0.533847851,0.5917073705,0.05405405405,0.1107625301,0.1140249876,0.1143773799,0.09977319206,0.1046934602,0.2355457874,0.106078511,0.2101806444,0.2196544036,0.2883238318,1.964965692,1.236433701,2.977568537,0.4696088137
772,0.8654285714,0.6732000741,0.7326111608,0.731460308,0.5365205565,0.6007479256,0.1345714286,0.3267999259,0.2673888392,0.268539692,0.4634794435,0.3992520744,0.87,0.6542942077,0.7300901799,0.7289832938,0.5327027545,0.5901734149,0.05405405405,0.1110339988,0.1147217925,0.1138499681,0.09975442699,0.1047401059,0.2371253778,0.1060441859,0.2102114851,0.2208992099,0.2901887929,1.952558568,1.236433701,2.977568537,0.5013143175
773,0.8668571429,0.6745768017,0.7361201247,0.732239669,0.5395310641,0.6028156929,0.1331428571,0.3254231983,0.2638798753,0.267760331,0.4604689359,0.3971843071,0.8713513514,0.6555244009,0.7331363238,0.7296314062,0.5353845427,0.5920294009,0.05405405405,0.1107268982,0.1141730623,0.1133561263,0.09955016373,0.1045097436,0.2370792538,0.1060064974,0.2101930537,0.2201860692,0.28911215,1.959810438,1.236433701,2.977568537,0.4850088945
774,0.868,0.6733895455,0.7351732577,0.7326000698,0.539286424,0.6019022822,0.132,0.3266104545,0.2648267423,0.2673999302,0.460713576,0.3980977178,0.8724324324,0.6544835002,0.7322928674,0.7299443204,0.5351466888,0.5912263841,0.05405405405,0.1104404853,0.1136589919,0.1128940395,0.09908833527,0.1041504525,0.2378703505,0.1059894589,0.2101781286,0.2211828479,0.2902962572,1.953880439,1.236433701,2.977568537,0.4904693694
775,0.8685714286,0.6753468845,0.7336362897,0.7343224287,0.5392996275,0.6029778473,0.1314285714,0.3246531155,0.2663637103,0.2656775713,0.4607003725,0.3970221527,0.872972973,0.6562383822,0.7309286968,0.7314636941,0.5350909017,0.5921507021,0.05405405405,0.1101734807,0.1143778044,0.1124619494,0.099343361,0.1041357413,0.2366174792,0.1059922014,0.21024665,0.2200342903,0.2886748775,1.953461689,1.236433701,2.977568537,0.4827075295
776,0.8708571429,0.6735991925,0.7340490274,0.7347747838,0.5399616342,0.6026826369,0.1291428571,0.3264008075,0.2659509726,0.2652252162,0.4600383658,0.3973173631,0.8751351351,0.6546915368,0.7312863243,0.7318507132,0.5356774616,0.5918675032,0.05405405405,0.1105246939,0.1144500907,0.1120581584,0.09925104034,0.1041826655,0.2378473746,0.105990294,0.2102212539,0.2209507059,0.2900461162,1.923925537,1.236433701,2.977568537,0.479974721
777,0.8711428571,0.6736236768,0.7355322056,0.7350416019,0.5412629128,0.6032689891,0.1288571429,0.3263763232,0.2644677944,0.2649583981,0.4587370872,0.3967310109,0.8754054054,0.6547225005,0.7325754689,0.7320859566,0.5368333714,0.5923999603,0.05405405405,0.1102541663,0.113917229,0.1116810323,0.0989475245,0.1039218821,0.2384686442,0.1060078185,0.2102405803,0.2211215378,0.2901504164,1.911222873,1.236433701,2.977568537,0.4665063809
778,0.8697142857,0.6735534539,0.7370358123,0.7338950272,0.5415663903,0.603547502,0.1302857143,0.3264465461,0.2629641877,0.2661049728,0.4584336097,0.396452498,0.8740540541,0.6546796045,0.7339054079,0.7310456967,0.5370457705,0.5926189371,0.05405405405,0.1100017658,0.1139713379,0.1125052995,0.09939432708,0.1040019166,0.2385182936,0.1060203528,0.2103013201,0.2213280654,0.2903195126,1.926864909,1.236433701,2.977568537,0.4528892425
779,0.8694285714,0.6721335775,0.7377950129,0.7365926897,0.5439490696,0.6041812764,0.1305714286,0.3278664225,0.2622049871,0.2634073103,0.4560509304,0.3958187236,0.8737837838,0.6533345779,0.7345862023,0.7334139818,0.5392059282,0.593161199,0.05405405405,0.1103664062,0.1134692782,0.1121010861,0.0991807914,0.1040383472,0.2393802183,0.106028371,0.2102999334,0.2221439702,0.291482219,1.94102039,1.236433701,2.977568537,0.49758027
780,0.8705714286,0.6728126209,0.737959336,0.7381413005,0.5451361044,0.6052468622,0.1294285714,0.3271873791,0.262040664,0.2618586995,0.4548638956,0.3947531378,0.8748648649,0.6539354656,0.7347235876,0.734811682,0.5402799092,0.594107969,0.05405405405,0.1101082265,0.1129994965,0.1123232888,0.0991542584,0.1039445702,0.2391950572,0.1060323054,0.2103127328,0.2218804052,0.2910104211,1.951883682,1.236433701,2.977568537,0.4779280092
781,0.8702857143,0.6715352166,0.7349809062,0.7369296009,0.5420991118,0.6030507207,0.1297142857,0.3284647834,0.2650190938,0.2630703991,0.4579008882,0.3969492793,0.8745945946,0.652832701,0.7321141935,0.7337162199,0.5375579636,0.5921559143,0.05405405405,0.109867183,0.113160231,0.1123755627,0.0990191774,0.1037671701,0.2403967339,0.1060325509,0.2103145135,0.2228767986,0.2922337075,1.966440491,1.236433701,2.977568537,0.4673308616
782,0.8685714286,0.672337381,0.733317271,0.7360941939,0.5403413496,0.6026654076,0.1314285714,0.327662619,0.266682729,0.2639058061,0.4596586504,0.3973345924,0.872972973,0.653577845,0.7306805768,0.7330374795,0.5359501837,0.5917957266,0.05405405405,0.1096422471,0.1138491615,0.1125818062,0.09932889952,0.103825511,0.241274756,0.1060294679,0.210349315,0.2224535899,0.2916010315,1.987477426,1.236433701,2.977568537,0.4526700114
783,0.8722857143,0.6695648067,0.7339238903,0.7364608761,0.5409170746,0.6015450026,0.1277142857,0.3304351933,0.2660761097,0.2635391239,0.4590829254,0.3984549974,0.8764864865,0.6511410527,0.7312042646,0.7333785729,0.5364824673,0.5908197076,0.05405405405,0.1100324667,0.1133561417,0.1121747831,0.09898959613,0.1037566432,0.2412024034,0.1060470024,0.2103902863,0.2240034094,0.2938427139,1.944915682,1.236433701,2.977568537,0.4329167828
784,0.8717142857,0.6684578,0.7346461078,0.7366946713,0.5414787502,0.6012793185,0.1282857143,0.3315422,0.2653538922,0.2633053287,0.4585212498,0.3987206815,0.8759459459,0.650171626,0.7318298925,0.7336577061,0.5370214878,0.590610259,0.05405405405,0.109798095,0.1128947466,0.1123736245,0.09893970352,0.103661917,0.2423560477,0.1060606095,0.2103944834,0.2249054044,0.2949293265,1.95860936,1.236433701,2.977568537,0.4617930303
