k,b_norm_griebel_innovation_mean,b_norm_radial_mean,b_norm_x_mean,b_norm_y_mean,b_norm_comp_mean,b_norm_overall_mean,d_norm_griebel_innovation_mean,d_norm_radial_mean,d_norm_x_mean,d_norm_y_mean,d_norm_comp_mean,d_norm_overall_mean,p_ok_griebel_innovation_mean,p_ok_radial_mean,p_ok_x_mean,p_ok_y_mean,p_ok_comp_mean,p_ok_overall_mean,u_griebel_innovation_mean,u_radial_mean,u_x_mean,u_y_mean,u_comp_mean,u_overall_mean,griebel_multinomial_dc_mean,griebel_multinomial_uncertainty_mean,griebel_multinomial_threshold_mean,dc_josang_history_mean,dc_norm_history_mean,nis_score_mean,nis_lower_band_mean,nis_upper_band_mean,rmse_mean
31,0.95875,0.7986458333,0.8046875,0.8024479167,0.6431362042,0.7171314503,0.04125,0.2013541667,0.1953125,0.1975520833,0.3568637958,0.2828685497,0.9582352941,0.745042735,0.787173012,0.7853354052,0.618129364,0.6789657822,0.05882352941,0.1794871795,0.1794871795,0.1794871795,0.1708626833,0.1749380975,0.1013081517,0.1794871795,0.261863852,0.1161942331,0.1652136752,1.915756525,1.206555578,3.027441047,0.5369946809
32,0.9590909091,0.8008080808,0.8054545455,0.8048989899,0.6458705382,0.7197032215,0.04090909091,0.1991919192,0.1945454545,0.1951010101,0.3541294618,0.2802967785,0.9585714286,0.7481666667,0.7882436867,0.7877853534,0.6210144424,0.6820336368,0.05714285714,0.175,0.175,0.175,0.1668172958,0.1706883266,0.1028240054,0.175,0.2589296764,0.1162071429,0.1643333333,1.910700829,1.216916232,3.010013019,0.5223678065
33,0.9591176471,0.8075980392,0.8121568627,0.8089215686,0.6545270754,0.7276792532,0.04088235294,0.1924019608,0.1878431373,0.1910784314,0.3454729246,0.2723207468,0.9586111111,0.7550813008,0.794221483,0.7915385561,0.628699004,0.6894912353,0.05555555556,0.1707317073,0.1707317073,0.1707317073,0.1635967702,0.1669674965,0.1016819107,0.1707317073,0.2563582508,0.113410385,0.1595528455,1.915204585,1.226866704,2.993409553,0.5157183303
34,0.9597142857,0.8133333333,0.819,0.8126666667,0.6631243469,0.7351516594,0.04028571429,0.1866666667,0.181,0.1873333333,0.3368756531,0.2648483406,0.9591891892,0.7611111111,0.8003511302,0.7950733524,0.636394492,0.6965526584,0.05405405405,0.1666666667,0.1666666667,0.1666666667,0.1605289172,0.1634250964,0.1021221975,0.1666666667,0.2538798029,0.1111111111,0.1555555556,1.917541298,1.236433701,2.977568537,0.5267409274
35,0.9585714286,0.8129166667,0.8161574074,0.8118981481,0.6601900119,0.7334425327,0.04142857143,0.1870833333,0.1838425926,0.1881018519,0.3398099881,0.2665574673,0.9581081081,0.7619767442,0.7984049799,0.7948390884,0.6346469438,0.6960685162,0.05405405405,0.1627906977,0.1627906977,0.1627906977,0.1564795034,0.159468662,0.1033661926,0.1627906977,0.2515138082,0.1123974349,0.156627907,1.938674999,1.236433701,2.977568537,0.5006815185
36,0.958,0.8152904084,0.8168208698,0.811559258,0.6604657672,0.7348824317,0.042,0.1847095916,0.1831791302,0.188440742,0.3395342328,0.2651175683,0.9575675676,0.7651175574,0.7993618274,0.7949375073,0.6354825585,0.6981242278,0.05405405405,0.1591321832,0.1591321832,0.1591321832,0.1529613067,0.155889531,0.1032426482,0.1590909091,0.2491148374,0.1119433037,0.155316351,1.932002892,1.236433701,2.977568537,0.496837224
37,0.9585714286,0.8172082644,0.8172545391,0.8123060068,0.6614100772,0.7364016613,0.04142857143,0.1827917356,0.1827454609,0.1876939932,0.3385899228,0.2635983387,0.9581081081,0.7678242891,0.8001063914,0.7959282621,0.6368238309,0.7001990432,0.05405405405,0.1556831295,0.1556831295,0.1556831295,0.1497121297,0.1525479405,0.1030092539,0.1555555556,0.2468916533,0.1116916485,0.1543341461,1.936098339,1.236433701,2.977568537,0.5390032037
38,0.958,0.8181981344,0.8174093258,0.8165020592,0.6651808052,0.7389432661,0.042,0.1818018656,0.1825906742,0.1834979408,0.3348191948,0.2610567339,0.9575675676,0.7696935132,0.8005953267,0.7998263596,0.6404868269,0.7030698441,0.05405405405,0.1524352784,0.1524352784,0.1524352784,0.1468956398,0.1495230813,0.1025721487,0.152173913,0.244833426,0.1119430896,0.1540888476,1.941652118,1.236433701,2.977568537,0.562214999
39,0.9577142857,0.820566863,0.8197826121,0.8184358996,0.6687202631,0.7419819583,0.04228571429,0.179433137,0.1802173879,0.1815641004,0.3312797369,0.2580180417,0.9572972973,0.7726805208,0.8029510739,0.8018055336,0.6439453218,0.7063439235,0.05405405405,0.1493802003,0.1493802003,0.1493802003,0.1442526125,0.146681488,0.1026590223,0.1489361702,0.2425639061,0.1112824901,0.152629379,1.95147748,1.236433701,2.977568537,0.5652070875
40,0.9571428571,0.822820918,0.8245748881,0.8243473707,0.677365979,0.7477947364,0.04285714286,0.177179082,0.1754251119,0.1756526293,0.322634021,0.2522052636,0.9567567568,0.7755246264,0.8073647089,0.807170525,0.6517157701,0.7119112124,0.05405405405,0.1465093769,0.1465093769,0.1465093769,0.1422474013,0.1442633801,0.1019889823,0.1458333333,0.2408148164,0.1106275172,0.1512206851,1.955741991,1.236433701,2.977568537,0.5840359164
