k,p_ok_griebel_innovation_mean,p_ok_radial_mean,p_ok_x_mean,p_ok_y_mean,p_ok_overall_mean,u_griebel_innovation_mean,u_radial_mean,u_x_mean,u_y_mean,u_overall_mean,griebel_multinomial_dc_mean,griebel_multinomial_uncertainty_mean,griebel_multinomial_threshold_mean,dc_josang_history_mean,dc_norm_history_mean,nis_score_mean,nis_lower_band_mean,nis_upper_band_mean,rmse_mean
429,0.950270270270271,0.8253875374393551,0.8506065987711368,0.849139480080092,0.7743071828415438,0.0540540540540561,0.1080004536946257,0.1077103321906578,0.107420627014438,0.1084242058271928,0.0794407621112495,0.1066630377489862,0.2110128548811629,0.0921589680909145,0.1206122357133316,2.005494709604842,1.236433701309239,2.9775685365661952,0.5643176253216066
430,0.9502702702702708,0.8254399447175114,0.8510063282865277,0.8483833808779986,0.7741628662820691,0.0540540540540561,0.1079077746317742,0.107638811999394,0.1073672762938806,0.1083505111178649,0.0791469424383801,0.1066630591365211,0.2110128548811629,0.0921700124216365,0.1206061679666014,2.008667917756257,1.236433701309239,2.9775685365661952,0.5360674171535574
431,0.950540540540541,0.8251852586824344,0.8500431403803348,0.8496175265594763,0.7741236114036201,0.0540540540540561,0.1084211916904801,0.1075718372353216,0.1073175311469786,0.108524311116076,0.0784284341571814,0.106663078949901,0.2110128548811629,0.0920686352027863,0.1206041454723255,2.010453157376584,1.236433701309239,2.9775685365661952,0.5186485872938309
432,0.9513513513513518,0.8250692028365865,0.8505015947936988,0.8485029253365864,0.773799641478995,0.0540540540540561,0.1083015293956901,0.1075091627554172,0.1078712017822751,0.1085800505076506,0.078908351894661,0.1066630973049983,0.2110128548811629,0.0922270341607093,0.1207800324655684,2.0093301975338456,1.236433701309239,2.9775685365661952,0.5324456981333582
433,0.9508108108108112,0.8239183552804547,0.8516857841441648,0.8475664468186912,0.7732793010753843,0.0540540540540561,0.1081894201834481,0.1074505510487692,0.1077892496458943,0.1085127219854144,0.0785686319266598,0.1066631143091536,0.2110128548811629,0.093170667472018,0.1219869346278216,1.990634224363165,1.236433701309239,2.9775685365661952,0.5268160026610872
434,0.9510810810810816,0.8230257102058504,0.85059577300781,0.8483291202746787,0.7726978354568372,0.0540540540540561,0.1086844964661259,0.1073957727542813,0.1077124411568377,0.1086616964974417,0.0789013194013107,0.1066631300618063,0.2110128548811629,0.0935579761354632,0.1226320415610868,2.008540193274491,1.236433701309239,2.9775685365661952,0.5347730882880682
435,0.9505405405405408,0.8221393023526731,0.851127520615459,0.8465430250562679,0.7718178515603944,0.0540540540540561,0.1085475424802589,0.1073446070529729,0.108237007495116,0.1086792439012894,0.0795141543876765,0.1066631446550737,0.2110128548811629,0.0943073232573277,0.1235869264071972,2.0177114727109604,1.236433701309239,2.9775685365661952,0.5470581480051548
436,0.9508108108108112,0.8228245448445789,0.8503403267399671,0.8457994029667735,0.7714298173879328,0.0540540540540561,0.1084191491592966,0.1072968419464749,0.1081311826876496,0.1085510703222902,0.0786149394670891,0.1066631581742929,0.2110128548811629,0.0938703403803331,0.122965880575773,2.016336574744694,1.236433701309239,2.9775685365661952,0.5129409754398613
437,0.9508108108108112,0.8246977090785237,0.8508921010900937,0.8459943253287746,0.7726934696082296,0.0540540540540561,0.1082988732521137,0.1072522744334407,0.1080318694429704,0.10850114492047,0.0781377800093792,0.1066631706985176,0.2110128548811629,0.092514129418073,0.1211528542954195,2.01749769126485,1.236433701309239,2.9775685365661952,0.4983508474697418
438,0.9494594594594596,0.8247546132619175,0.8501857991674266,0.8473689353586604,0.7730061603373131,0.0540540540540561,0.1081862827861124,0.1072107105954446,0.1079387437176178,0.1084470047076697,0.0778869850100567,0.1066631823009831,0.2110128548811629,0.0925319034302542,0.1211522453450265,2.024530265316879,1.236433701309239,2.9775685365661952,0.5125844995949066
439,0.9491891891891896,0.8248114799517249,0.8497282279392695,0.8487056465753996,0.7733691509170671,0.0540540540540561,0.1080809583752211,0.1071719656035861,0.1078514879382157,0.1083959718315533,0.077776550979584,0.1066631930495331,0.2110128548811629,0.0925391230666749,0.1211480408606645,2.020973523611579,1.236433701309239,2.9775685365661952,0.525504553933517
440,0.9508108108108112,0.8243453481924451,0.8503287065638347,0.8501434237971758,0.773984287784549,0.0540540540540561,0.1079824942728693,0.1071358636564894,0.1077697921977308,0.1083880318640943,0.0782676276796188,0.1066632030070174,0.2110128548811629,0.0929522188084631,0.1216634046711204,2.025696981432433,1.236433701309239,2.9775685365661952,0.5223697298976536
441,0.94945945945946,0.8242815046752088,0.8507182348245489,0.8505900642836265,0.7743362464239114,0.0540540540540561,0.1078904991898959,0.1071022378597489,0.1076933552533814,0.1083495227314619,0.0783056523120755,0.1066632122316596,0.2110128548811629,0.0930551323110293,0.1217732457298432,2.026586310975725,1.236433701309239,2.9775685365661952,0.5526464565825813
442,0.948918918918919,0.8249396844824701,0.8520364002599643,0.8504515580752061,0.7751389799843822,0.0540540540540561,0.1078045968983506,0.1070709300561483,0.1076218853381818,0.1083235734792589,0.0796462285624877,0.1066632207773972,0.2110128548811629,0.0926060547427378,0.1211580170683545,2.0389859953728515,1.236433701309239,2.9775685365661952,0.5668953657366067
443,0.94972972972973,0.8251442953841157,0.8505440412954965,0.8518939083816087,0.775209455296912,0.0540540540540561,0.108324460024191,0.1076418239983751,0.1075551007997326,0.1086793022837178,0.0801399886117922,0.1066632286941973,0.2110128548811629,0.0921229942633693,0.1206934746037888,2.023610995231819,1.236433701309239,2.9775685365661952,0.591624366369148
444,0.950810810810811,0.8246947165812786,0.8499487585221623,0.8523293944419561,0.7748783547900469,0.0540540540540561,0.1082109170702211,0.1075759518830795,0.107492730580883,0.1085937633267103,0.0802627942106524,0.1066632360283502,0.2110128548811629,0.0925260321109788,0.1211998248836107,2.0253458698140507,1.236433701309239,2.9775685365661952,0.595414257727245
445,0.951621621621622,0.8241579439044999,0.8501101599186864,0.8516035198294144,0.7743249189934879,0.0540540540540561,0.1081046064088318,0.1075141479951583,0.1074345145573979,0.1084987211303031,0.0805198803680556,0.106663242822738,0.2110128548811629,0.0930040337717868,0.1217897528910839,2.0135001222682987,1.236433701309239,2.9775685365661952,0.5946070874684524
446,0.9502702702702704,0.8249034081064771,0.8515824786365878,0.8524930157234796,0.7757217681383065,0.0540540540540561,0.1080051346169086,0.1074562067900914,0.1073802037478356,0.1085001539236792,0.0803620675038552,0.1066632491170866,0.2110128548811629,0.092489190726652,0.1210940245850685,2.023280356127475,1.236433701309239,2.9775685365661952,0.5796161547551407
447,0.9510810810810814,0.825192194602074,0.8504190017444366,0.8531438980760161,0.7756400392363334,0.0540540540540561,0.1085121546116056,0.1074019275002681,0.1073295604105669,0.1086426250200948,0.0790552931714595,0.1066632549481977,0.2110128548811629,0.0919860301876595,0.1205517280921227,2.0099624575176427,1.236433701309239,2.9775685365661952,0.5634814473468392
448,0.9510810810810816,0.8269326342027173,0.8509912967131289,0.8531536322556507,0.7767508844953008,0.0540540540540561,0.1083864731064566,0.1073511147515928,0.1072823580423274,0.1085917180707765,0.078290621342288,0.1066632603501652,0.2110128548811629,0.0907259604567015,0.1188741292440543,1.99286061298114,1.236433701309239,2.9775685365661952,0.5728287515620638
449,0.9508108108108114,0.8265509739978999,0.850740620387168,0.8541662566423538,0.7770547374792528,0.0540540540540561,0.1087889681440872,0.1073035790758065,0.1072383812919468,0.1087374816013422,0.0772460935142865,0.1066632653545728,0.2110128548811629,0.0907431522947902,0.1190545419300568,2.000234426501981,1.236433701309239,2.9775685365661952,0.594831410002414
450,0.9513513513513516,0.8274923074592073,0.8520573266922874,0.8546161537721223,0.7782583640446874,0.0540540540540561,0.1086457115786865,0.107259137323661,0.107197425802013,0.1087187044318622,0.0772804057562908,0.1066632699906802,0.2110128548811629,0.0901271909722098,0.1181848367514493,1.9984807891883072,1.236433701309239,2.9775685365661952,0.5830845936292172
451,0.9518918918918922,0.8250331817253779,0.8518156502885712,0.8544978540808175,0.7769609271420583,0.0540540540540561,0.1091113402187265,0.1072176129852374,0.1071592979902528,0.1088699441961744,0.0771765330663991,0.1066632742855926,0.2110128548811629,0.0916997567406509,0.1204111481652586,2.0034297862867203,1.236433701309239,2.9775685365661952,0.5793457107174421
452,0.9521621621621624,0.8263971009775899,0.8509417772176515,0.8547542733126761,0.7774858052400677,0.0540540540540561,0.1089465830289486,0.1077770941068972,0.107123814781384,0.1089179695015009,0.0769879525311514,0.1066632782644213,0.2110128548811629,0.0907763483452261,0.1191296075079356,2.009797665597538,1.236433701309239,2.9775685365661952,0.5960694555688459
